"long","lat","order","grid","resolution"
-2.00183943925444,60.6832136519307,1,"HP00",10
-2.0018452956842,60.7729937392949,2,"HP00",10
-1.81826857204131,60.7728710947679,3,"HP00",10
-1.81877436399786,60.683091455077,4,"HP00",10
-2.00183943925444,60.6832136519307,5,"HP00",10
-2.0018452956842,60.7729937392949,1,"HP01",10
-2.00185118989574,60.8627726179661,2,"HP01",10
-1.81775949726051,60.8626495232573,3,"HP01",10
-1.81826857204131,60.7728710947679,4,"HP01",10
-2.0018452956842,60.7729937392949,5,"HP01",10
-2.00185118989574,60.8627726179661,1,"HP02",10
-2.00185712223685,60.9525502903266,2,"HP02",10
-1.81724710945254,60.952426742904,3,"HP02",10
-1.81775949726051,60.8626495232573,4,"HP02",10
-2.00185118989574,60.8627726179661,5,"HP02",10
-2.00185712223685,60.9525502903266,1,"HP03",10
-2.00186309305962,61.0423267587705,2,"HP03",10
-1.81673137803977,61.0422027560782,3,"HP03",10
-1.81724710945254,60.952426742904,4,"HP03",10
-2.00185712223685,60.9525502903266,5,"HP03",10
-2.00186309305962,61.0423267587705,1,"HP04",10
-2.00186910272054,61.1321020257034,2,"HP04",10
-1.81621227206406,61.1319775651617,3,"HP04",10
-1.81673137803977,61.0422027560782,4,"HP04",10
-2.00186309305962,61.0423267587705,5,"HP04",10
-2.00186910272054,61.1321020257034,1,"HP05",10
-2.00187515158053,61.2218760935425,2,"HP05",10
-1.81568976018082,61.2217511725475,3,"HP05",10
-1.81621227206406,61.1319775651617,4,"HP05",10
-2.00186910272054,61.1321020257034,5,"HP05",10
-2.00187515158053,61.2218760935425,1,"HP06",10
-2.00188124000504,61.3116489647169,2,"HP06",10
-1.815163810653,61.3115235806398,3,"HP06",10
-1.81568976018082,61.2217511725475,4,"HP06",10
-2.00187515158053,61.2218760935425,5,"HP06",10
-2.00188124000504,61.3116489647169,1,"HP07",10
-2.0018873683641,61.4014206416672,2,"HP07",10
-1.81463439134491,61.4012947918545,3,"HP07",10
-1.815163810653,61.3115235806398,4,"HP07",10
-2.00188124000504,61.3116489647169,5,"HP07",10
-2.0018873683641,61.4014206416672,1,"HP08",10
-2.00189353703242,61.4911911268455,2,"HP08",10
-1.81410146971596,61.4910648086183,3,"HP08",10
-1.81463439134491,61.4012947918545,4,"HP08",10
-2.0018873683641,61.4014206416672,5,"HP08",10
-2.00189353703242,61.4911911268455,1,"HP09",10
-2.00189974638943,61.5809604227155,2,"HP09",10
-1.81356501281432,61.5808336333694,3,"HP09",10
-1.81410146971596,61.4910648086183,4,"HP09",10
-2.00189353703242,61.4911911268455,5,"HP09",10
-1.81877436399786,60.683091455077,1,"HP10",10
-1.81826857204131,60.7728710947679,2,"HP10",10
-1.63469513117058,60.7724974189554,3,"HP10",10
-1.63571254168046,60.6827191429969,4,"HP10",10
-1.81877436399786,60.683091455077,5,"HP10",10
-1.81826857204131,60.7728710947679,1,"HP11",10
-1.81775949726051,60.8626495232573,2,"HP11",10
-1.6336711175994,60.8622744760701,3,"HP11",10
-1.63469513117058,60.7724974189554,4,"HP11",10
-1.81826857204131,60.7728710947679,5,"HP11",10
-1.81775949726051,60.8626495232573,1,"HP12",10
-1.81724710945254,60.952426742904,2,"HP12",10
-1.63264044021899,60.9520503166285,3,"HP12",10
-1.6336711175994,60.8622744760701,4,"HP12",10
-1.81775949726051,60.8626495232573,5,"HP12",10
-1.81724710945254,60.952426742904,1,"HP13",10
-1.81673137803977,61.0422027560782,2,"HP13",10
-1.63160303752782,61.0418249429287,3,"HP13",10
-1.63264044021899,60.9520503166285,4,"HP13",10
-1.81724710945254,60.952426742904,5,"HP13",10
-1.81673137803977,61.0422027560782,1,"HP14",10
-1.81621227206406,61.1319775651617,2,"HP14",10
-1.63055884725905,61.1315983572791,3,"HP14",10
-1.63160303752782,61.0418249429287,4,"HP14",10
-1.81673137803977,61.0422027560782,5,"HP14",10
-1.81621227206406,61.1319775651617,1,"HP15",10
-1.81568976018082,61.2217511725475,2,"HP15",10
-1.62950780636861,61.2213705619988,3,"HP15",10
-1.63055884725905,61.1315983572791,4,"HP15",10
-1.81621227206406,61.1319775651617,5,"HP15",10
-1.81568976018082,61.2217511725475,1,"HP16",10
-1.815163810653,61.3115235806398,2,"HP16",10
-1.62844985102309,61.3111415594169,3,"HP16",10
-1.62950780636861,61.2213705619988,4,"HP16",10
-1.81568976018082,61.2217511725475,5,"HP16",10
-1.815163810653,61.3115235806398,1,"HP17",10
-1.81463439134491,61.4012947918545,2,"HP17",10
-1.62738491658734,61.4009113518734,3,"HP17",10
-1.62844985102309,61.3111415594169,4,"HP17",10
-1.815163810653,61.3115235806398,5,"HP17",10
-1.81463439134491,61.4012947918545,1,"HP18",10
-1.81410146971596,61.4910648086183,2,"HP18",10
-1.62631293761188,61.4906799417182,3,"HP18",10
-1.62738491658734,61.4009113518734,4,"HP18",10
-1.81463439134491,61.4012947918545,5,"HP18",10
-1.81410146971596,61.4910648086183,1,"HP19",10
-1.81356501281432,61.5808336333694,2,"HP19",10
-1.62523384782009,61.5804473313117,3,"HP19",10
-1.62631293761188,61.4906799417182,4,"HP19",10
-1.81410146971596,61.4910648086183,5,"HP19",10
-1.63571254168046,60.6827191429969,1,"HP20",10
-1.63469513117058,60.7724974189554,2,"HP20",10
-1.451128293247,60.7718727251545,3,"HP20",10
-1.45265726230631,60.6820967288753,4,"HP20",10
-1.63571254168046,60.6827191429969,5,"HP20",10
-1.63469513117058,60.7724974189554,1,"HP21",10
-1.6336711175994,60.8622744760701,2,"HP21",10
-1.44958940163144,60.8616474898154,3,"HP21",10
-1.451128293247,60.7718727251545,4,"HP21",10
-1.63469513117058,60.7724974189554,5,"HP21",10
-1.6336711175994,60.8622744760701,1,"HP22",10
-1.63264044021899,60.9520503166285,2,"HP22",10
-1.44804049617817,60.9514210250262,3,"HP22",10
-1.44958940163144,60.8616474898154,4,"HP22",10
-1.6336711175994,60.8622744760701,5,"HP22",10
-1.63264044021899,60.9520503166285,1,"HP23",10
-1.63160303752782,61.0418249429287,2,"HP23",10
-1.44648148447344,61.0411933329641,3,"HP23",10
-1.44804049617817,60.9514210250262,4,"HP23",10
-1.63264044021899,60.9520503166285,5,"HP23",10
-1.63160303752782,61.0418249429287,1,"HP24",10
-1.63055884725905,61.1315983572791,2,"HP24",10
-1.44491227295363,61.1309644158154,3,"HP24",10
-1.44648148447344,61.0411933329641,4,"HP24",10
-1.63160303752782,61.0418249429287,5,"HP24",10
-1.63055884725905,61.1315983572791,1,"HP25",10
-1.62950780636861,61.2213705619988,2,"HP25",10
-1.44333276688734,61.2207342757753,3,"HP25",10
-1.44491227295363,61.1309644158154,4,"HP25",10
-1.63055884725905,61.1315983572791,5,"HP25",10
-1.62950780636861,61.2213705619988,1,"HP26",10
-1.62844985102309,61.3111415594169,2,"HP26",10
-1.44174287035715,61.3105029150478,3,"HP26",10
-1.44333276688734,61.2207342757753,4,"HP26",10
-1.62950780636861,61.2213705619988,5,"HP26",10
-1.62844985102309,61.3111415594169,1,"HP27",10
-1.62738491658734,61.4009113518734,2,"HP27",10
-1.44014248624105,61.4002703358457,3,"HP27",10
-1.44174287035715,61.3105029150478,4,"HP27",10
-1.62844985102309,61.3111415594169,5,"HP27",10
-1.62738491658734,61.4009113518734,1,"HP28",10
-1.62631293761188,61.4906799417182,2,"HP28",10
-1.43853151619352,61.4900365403906,3,"HP28",10
-1.44014248624105,61.4002703358457,4,"HP28",10
-1.62738491658734,61.4009113518734,5,"HP28",10
-1.62631293761188,61.4906799417182,1,"HP29",10
-1.62523384782009,61.5804473313117,2,"HP29",10
-1.43690986062623,61.5798015309128,3,"HP29",10
-1.43853151619352,61.4900365403906,4,"HP29",10
-1.62631293761188,61.4906799417182,5,"HP29",10
-1.45265726230631,60.6820967288753,1,"HP30",10
-1.451128293247,60.7718727251545,2,"HP30",10
-1.26757137770351,60.7709970355929,3,"HP30",10
-1.26961181514868,60.6812242347524,4,"HP30",10
-1.45265726230631,60.6820967288753,5,"HP30",10
-1.451128293247,60.7718727251545,1,"HP31",10
-1.44958940163144,60.8616474898154,2,"HP31",10
-1.26551769932212,60.8607685869107,3,"HP31",10
-1.26757137770351,60.7709970355929,4,"HP31",10
-1.451128293247,60.7718727251545,5,"HP31",10
-1.44958940163144,60.8616474898154,1,"HP32",10
-1.44804049617817,60.9514210250262,2,"HP32",10
-1.26345065820679,60.9505388907065,3,"HP32",10
-1.26551769932212,60.8607685869107,4,"HP32",10
-1.44958940163144,60.8616474898154,5,"HP32",10
